flight_id,origin,destination,distance,air_time,delay,cancelled
FL0001,LAX,JFK,1306,168,35,0
FL0002,LAX,SFO,1908,0,5,1
FL0003,ATL,LAX,2249,325,143,0
FL0004,SEA,LAX,2019,258,1,0
FL0005,ORD,SEA,1911,275,39,0
FL0006,SFO,JFK,559,70,91,0
FL0007,DFW,MIA,357,53,137,0
FL0008,SEA,JFK,2441,322,160,0
FL0009,SFO,DFW,967,126,11,0
FL0010,DFW,JFK,1133,161,97,0
FL0011,SFO,LAX,1696,220,68,0
FL0012,LAX,SFO,2780,405,62,0
FL0013,SEA,ORD,2461,310,83,0
FL0014,JFK,ORD,311,44,102,0
FL0015,ATL,SFO,1468,203,127,0
FL0016,MIA,LAX,1264,169,143,0
FL0017,SEA,DFW,1815,245,35,0
FL0018,LAX,MIA,372,49,39,0
FL0019,SEA,DFW,440,54,152,0
FL0020,DFW,SFO,227,35,29,0
FL0021,DFW,MIA,1573,230,111,0
FL0022,JFK,SEA,1258,170,45,0
FL0023,LAX,MIA,2741,362,129,0
FL0024,ORD,ATL,841,104,135,0
FL0025,SFO,ATL,259,35,92,0
FL0026,DFW,LAX,417,51,145,0
FL0027,LAX,SEA,2170,277,136,0
FL0028,ORD,SEA,2126,303,42,0
FL0029,SEA,LAX,2388,308,51,0
FL0030,SEA,SFO,1709,233,132,0
FL0031,ATL,LAX,442,59,150,0
FL0032,ATL,JFK,470,67,15,0
FL0033,JFK,MIA,1533,218,60,0
FL0034,MIA,LAX,2388,317,146,0
FL0035,ATL,MIA,2117,314,48,0
FL0036,SEA,ORD,1914,249,13,0
FL0037,LAX,JFK,1829,261,27,0
FL0038,ATL,SFO,2017,286,46,0
FL0039,ATL,MIA,488,72,140,0
FL0040,JFK,LAX,1148,156,124,0
FL0041,SEA,JFK,854,122,99,0
FL0042,MIA,ORD,1912,250,142,0
FL0043,MIA,LAX,957,127,14,0
FL0044,JFK,SEA,1464,199,149,0
FL0045,ORD,JFK,2260,337,47,0
FL0046,LAX,SEA,1143,163,145,0
FL0047,JFK,SFO,515,69,149,0
FL0048,SFO,ORD,1016,146,80,0
FL0049,SEA,LAX,1408,213,18,0
FL0050,LAX,JFK,2382,350,67,0
FL0051,SFO,JFK,1180,162,40,0
FL0052,DFW,SFO,2346,0,35,1
FL0053,DFW,SEA,604,86,34,0
FL0054,LAX,SEA,2446,323,72,0
FL0055,SFO,LAX,2777,376,129,0
FL0056,JFK,LAX,2778,416,70,0
FL0057,SFO,MIA,715,104,67,0
FL0058,MIA,DFW,1931,287,28,0
FL0059,ORD,SFO,327,44,149,0
FL0060,SEA,LAX,351,44,10,0
FL0061,ATL,SEA,1202,153,90,0
FL0062,SEA,DFW,813,102,60,0
FL0063,ORD,DFW,281,36,85,0
FL0064,SEA,MIA,1196,166,27,0
FL0065,JFK,MIA,2107,294,117,0
FL0066,ATL,LAX,276,39,102,0
FL0067,LAX,MIA,1323,183,130,0
FL0068,SFO,JFK,652,95,66,0
FL0069,DFW,JFK,624,80,88,0
FL0070,SFO,ATL,2663,369,29,0
FL0071,ATL,ORD,361,49,0,0
FL0072,ATL,ORD,1946,256,84,0
FL0073,LAX,SEA,1410,198,104,0
FL0074,DFW,SFO,701,91,97,0
FL0075,ORD,SFO,2511,316,140,0
FL0076,DFW,ORD,1040,137,148,0
FL0077,SFO,ATL,1989,268,54,0
FL0078,ORD,SEA,527,74,158,0
FL0079,ATL,SEA,1451,212,50,0
FL0080,JFK,ORD,2126,290,18,0
FL0081,ATL,SEA,1752,256,62,0
FL0082,JFK,MIA,616,90,56,0
FL0083,MIA,JFK,2463,336,31,0
FL0084,MIA,SFO,2355,331,152,0
FL0085,MIA,DFW,2247,307,140,0
FL0086,ORD,SEA,2124,267,63,0
FL0087,DFW,MIA,2315,329,61,0
FL0088,LAX,SEA,1350,190,85,0
FL0089,LAX,ORD,797,103,39,0
FL0090,LAX,DFW,1849,254,119,0
FL0091,ATL,MIA,1900,234,149,0
FL0092,JFK,MIA,2538,313,1,0
FL0093,DFW,MIA,1777,238,107,0
FL0094,ATL,DFW,1078,162,124,0
FL0095,SFO,SEA,1836,227,119,0
FL0096,JFK,DFW,2604,387,6,0
FL0097,SEA,LAX,2071,287,66,0
FL0098,ATL,DFW,1518,215,97,0
FL0099,SEA,ORD,515,77,138,0
FL0100,SFO,LAX,461,59,10,0
